sep=	
P0	source_photonEnergy	M1_outgoingMaxF_X	M1_outgoingMinF_X	M1_outgoingMaxF_Z	M1_outgoingMinF_Z	M1_intensityH_width_X	M1_intensityH_centerWidth_X	M1_intensityH_centerMass_X	M1_intensityH_width_Z	M1_intensityH_centerWidth_Z	M1_intensityH_centerMass_Z	M1_energyH_width	M1_energyH_centerWidth	M1_energyH_centerMass	M1_pathlengthH_width	M1_pathlengthH_centerWidth	M1_pathlengthH_centerMass	M1_phi_width	M1_phi_centerWidth	M1_phi_centerMass	M1_psi_width	M1_psi_centerWidth	M1_psi_centerMass	M1_incoming_NO	M1_absorbed_NO	M1_outgoing_NO	M1_incoming_R	M1_absorbed_R	M1_outgoing_R	M1_efficiency	M1_S1S0	M1_S2S0	M1_S3S0	M1_focus_horizontal_z0	M1_focus_horizontal_width	M1_focus_horizontal_theta	M1_focus_horizontal_depth	M1_focus_vertical_z0	M1_focus_vertical_width	M1_focus_vertical_theta	M1_focus_vertical_depth
20	30	0.0454536269811489	-0.0474262058005887	0.0648762817712087	-0.0654646795950935	0.0235916165161776	-4.98698145654577e-05	0.000286546106502236	0.0338299992492452	7.15441661670001e-05	-0.000164692094990093	0	30	30	0.998356580954056	0.000572712458492664	0.00426563785619916	0.0190266312617633	-5.94933142922822e-05	-5.90048849643462e-05	0.0131470792179941	-44.9999089306801	-44.9999803241055	1000000	868062	131938	100	86.8062	13.1938	13.1938	0.642	-0.704	-0.302	-14.9239	0.0100027	0.00010043	199.199	-15.3555	0.00999063	0.000100145	199.524
21	31	0.0452115476523335	-0.0462880559690239	0.0633651887851347	-0.064616761561318	0.0236848646719321	-0.000146831825188065	-0.000442785118192852	0.033319068631563	-5.33906316958523e-05	-4.45561566950123e-05	0	31	31	0.998645452444983	-0.00018278827717455	-0.000527189522733451	0.0187796522444098	0.000119428252015153	0.000161068212185797	0.0133835783268501	-45.0000008417661	-45.0000948132036	1000000	858106	141894	100	85.8106	14.1894	14.1894	0.626	-0.729	-0.278	-15.0525	0.0100349	9.95545e-05	201.596	-14.6551	0.0100223	9.97416e-05	200.965
22	32	0.0444153424764479	-0.0452671335447579	0.0645695611307268	-0.0620308979827087	0.0238986919406909	-2.94557388645488e-05	0.000297740504421766	0.0339925075478988	-8.30594949140055e-05	0.000504550489691481	0	32	32	0.998403246700555	0.000126405312239064	0.00116009742888945	0.0192631356473117	9.43347725943303e-07	-0.000298846365241183	0.0134536143059229	-45.0001173558503	-45.0002161333743	1000000	853392	146608	100	85.3392	14.6608	14.6608	0.617	-0.752	-0.231	-15.0695	0.0100022	9.99183e-05	200.207	-14.9648	0.00999065	9.98946e-05	200.024
23	33	0.045560194793202	-0.0472025259932069	0.0667994962124591	-0.063921127764603	0.0236927820686583	5.65111630158911e-05	0.000296088316794174	0.0331979380769129	3.56391589720756e-05	-2.42681239818882e-05	0	33	33	0.998209431614955	8.25272706493352e-05	-0.000134212815426693	0.0189091608568914	-3.47353341790396e-06	-0.000284288707548354	0.0136794749430914	-44.9999853595953	-44.9998075810918	1000000	861580	138420	100	86.158	13.842	13.842	0.631	-0.753	-0.187	-15.1325	0.0100248	0.000100205	200.086	-14.8393	0.0100337	9.96303e-05	201.419
24	34	0.0469011824473423	-0.0447186450392876	0.0647603926152017	-0.0662218831020738	0.0235537333326272	6.72789166696625e-05	0.000350652961293184	0.0332223096688133	0.000188704972586502	-0.000278327113169968	0	34	34	0.997163506025188	-0.000163834155607612	0.00169099751523127	0.0191842560612386	9.44905067438769e-05	5.37300754466369e-05	0.0136654170835427	-45.000186102821	-44.999781757215	1000000	867954	132046	100	86.7954	13.2046	13.2046	0.644	-0.750	-0.152	-15.1694	0.0099773	0.000100059	199.429	-14.7184	0.0100279	9.98333e-05	200.893
25	35	0.0481249003817274	-0.0456191485859875	0.0641215953344546	-0.0662118221371664	0.023285211863433	2.44356080906644e-05	0.00039147993179512	0.033604737058987	6.81993807795586e-05	-0.000154263954547186	0	35	35	0.997566228470865	0.000452356697574263	0.00137257317602479	0.0188320130766263	-8.43932231363274e-05	-2.44186591980278e-05	0.0133611643098096	-45.0000278707494	-45.0000950853636	1000000	875139	124861	100	87.5139	12.4861	12.4861	0.657	-0.745	-0.119	-14.8609	0.00998695	9.98818e-05	199.975	-15.3028	0.00999111	9.98258e-05	200.171
26	36	0.0470609437368936	-0.0442387173710656	0.0634799951562789	-0.0622033701398355	0.0239472991646399	9.13577598296213e-05	0.000174603952226862	0.0333174450981708	-0.000438664858410372	0.000230926205600016	0	36	36	0.999369092462889	-0.000479977895522621	0.00330933285211898	0.0189648759411543	0.000139313939960459	0.000181614315491338	0.0137825256519798	-45.0000695407979	-45.0002043879909	1000000	882227	117773	100	88.2227	11.7773	11.7773	0.671	-0.736	-0.088	-14.812	0.00997274	0.000100442	198.578	-14.6266	0.0099836	9.99825e-05	199.707
27	37	0.0450330245424398	-0.0439077925151408	0.0654215035714311	-0.0632223219632575	0.0235249575838144	-2.47520068693656e-05	-5.17443427203168e-06	0.0333221402544161	0.000178632051500621	-0.000568241996296556	0	37	37	0.998318430700875	0.000448659205442348	0.00227082394753975	0.0189592176235896	3.716191442657e-05	-5.83674094388406e-05	0.0131255150587459	-45.0001013398692	-45.000137742375	1000000	890379	109621	100	89.0379	10.9621	10.9621	0.687	-0.724	-0.062	-14.7597	0.010015	9.99916e-05	200.317	-14.6412	0.010021	0.000100205	200.009
28	38	0.0459743857055866	-0.0461111601057504	0.0641858740498035	-0.0647990041843389	0.024055640266871	-8.84976014143592e-06	0.000320509367127832	0.033822935635324	6.07123219489511e-06	0.000315415021061687	0	38	38	0.997154642419664	-0.000128028244087419	-0.00147903511028247	0.0188620163667143	-0.000188387221402676	7.1507153423328e-05	0.0134248107719789	-45.0000009719869	-45.0000263842477	1000000	896519	103481	100	89.6519	10.3481	10.3481	0.701	-0.712	-0.041	-14.8898	0.00999937	9.99402e-05	200.107	-15.0403	0.0100043	0.000100361	199.367
29	39	0.0464992258695478	-0.0445928606738608	0.0649967718286152	-0.0639812772674802	0.0234825231053829	9.14563299094871e-05	-0.000117371883803438	0.0325202404458245	-0.000123020818387283	0.000121359610649921	0	39	39	0.998096723357785	-6.14126206919807e-05	0.00252168616737691	0.0187229161274603	-8.73870598885884e-06	0.000314328170575785	0.013425488431604	-44.9999265528582	-44.9997723744383	1000000	902079	97921	100	90.2079	9.7921	9.7921	0.714	-0.700	-0.021	-14.9764	0.0100062	0.000100103	199.917	-14.9214	0.00999034	0.000100244	199.321
30	40	0.0441939882444772	-0.0456185763416951	0.06407999538203	-0.0648300087886113	0.0236734435207089	0.000224265671058878	0.000125454277146601	0.0334612673016117	0.000281582335448144	0.000543792463964826	0	40	40	0.998134172669466	-0.000496457531906136	-0.00111319108276575	0.0185872297509659	0.000135679172529006	-0.00033566900375654	0.0132373357599779	-44.9999781623297	-44.9997439905022	1000000	907960	92040	100	90.796	9.204	9.204	0.726	-0.688	-0.002	-15.4604	0.00997373	0.00010027	198.937	-14.4945	0.0100023	9.99564e-05	200.134
31	41	0.0457169978892024	-0.045524197623135	0.0639524085229216	-0.0647627465728053	0.0234083355728022	-4.96044868678984e-05	-0.000208755651229894	0.0332915738341037	-0.000149695776132754	-0.000219804109943322	0	41	41	0.997363572046134	0.000383472980843291	-0.00126269781303368	0.0181116657232876	-5.68681173980824e-05	-0.000125934100173627	0.0134517562259593	-44.9999084328326	-44.9999380273039	1000000	913016	86984	100	91.3016	8.6984	8.6984	0.737	-0.676	0.014	-15.3665	0.00996948	9.96662e-05	200.057	-15.2735	0.00999087	9.96066e-05	200.607
32	42	0.0458244495801065	-0.0446864969169202	0.064762386027155	-0.0638706863841829	0.023570367392954	4.44241579013582e-05	-3.24332950927542e-05	0.0336945884568097	0.000134090036783406	-0.00016814817116198	0	42	42	0.997904067568406	9.50549653189192e-05	-0.00192616047759486	0.0184521745419838	8.10457147316403e-06	-1.63449193463019e-05	0.0132658917383841	-44.9999264936281	-44.9999989634338	1000000	916539	83461	100	91.6539	8.3461	8.3461	0.747	-0.665	0.030	-14.802	0.00998222	9.99374e-05	199.77	-15.0364	0.0100021	9.99434e-05	200.155
33	43	0.0437749092183718	-0.045791997833704	0.0658096052637677	-0.0651614587353375	0.0240237825902936	0.000168500576416927	-0.000382465399645655	0.0336706951992319	2.74405070496697e-06	0.000286477510257954	0	43	43	0.99603692414825	0.000658818708641873	-0.000657285786774153	0.0189845984689984	5.81149877182906e-06	-9.50562164537955e-05	0.013554425279161	-45.0000154341096	-45.000002118224	1000000	920255	79745	100	92.0255	7.9745	7.9745	0.756	-0.654	0.045	-15.3571	0.0100254	0.000100057	200.393	-15.3179	0.0100331	9.99257e-05	200.812
34	44	0.0465314150321245	-0.0459917455916548	0.0670243584541433	-0.0647123788125157	0.0235305656116274	0.000221538734133912	-0.000334625596475867	0.0324314567135154	0.000111632770502971	0.000438577822794939	0	44	44	0.999238331442207	-0.000338439420567549	-0.00290453430806537	0.0188781469071476	0.000254101155319368	0.00029717416542531	0.0135642862612047	-45.0000357541554	-44.9997245574631	1000000	924246	75754	100	92.4246	7.5754	7.5754	0.763	-0.643	0.061	-15.2477	0.0100277	9.97098e-05	201.137	-15.006	0.0100489	9.95209e-05	201.946
35	45	0.0446996625897636	-0.0473056891049172	0.0629513253979815	-0.0638561089140168	0.023464719570041	0.000286387191710766	0.000225132803556329	0.033079420106452	0.00015608087894179	0.000612922679986284	0	45	45	0.995804288677404	0.000565918180063796	-0.00129073103655042	0.0182721434782944	-3.59423417135019e-05	-0.00016155867033478	0.0136349715850368	-45.000039999086	-45.0001606863216	1000000	926509	73491	100	92.6509	7.3491	7.3491	0.771	-0.632	0.080	-15.113	0.00997033	9.95728e-05	200.262	-14.7779	0.00999906	9.96845e-05	200.614
36	46	0.0466438032297088	-0.0457358178573399	0.0635862356349587	-0.0650156104280093	0.0237733767460411	0.000139720370450552	0.000365546919851634	0.0336849729159628	-9.69777630392236e-05	8.05368572758675e-05	0	46	46	0.99788190326931	0.000180344381305986	-0.0011864389520202	0.019081385154635	-1.60267176707567e-05	7.9976639739486e-05	0.0133366027889642	-44.9999439868359	-44.9999147891538	1000000	930496	69504	100	93.0496	6.9504	6.9504	0.780	-0.618	0.098	-15.1551	0.00999514	9.9705e-05	200.494	-14.9555	0.00998242	9.98827e-05	199.883
